 A.TOS_CAT   A.DESCRIPT                                 A.PAYM_DAYS   B.CRA_DAYS_NOTICE   B.CRA_ACTION_REQUIRED   B.CRA_LETTER_NUMBER   C.LETTER_TEXT      D.LETTER_TEXT
 -           Residential Senior Citizen                          21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 -           Residential Senior Citizen                          21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 -           Residential Senior Citizen                          21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 P           SME First Time Default                              21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 P           SME First Time Default                              21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 P           SME First Time Default                              21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 6           SME Very Loyal                                      21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 6           SME Very Loyal                                      21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
 6           SME Very Loyal                                      21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      A message from Flow.
 L           SME High Risk                                       21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-
 L           SME High Risk                                       21                  14   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-      -2994 or view and pay online by visiting www.discoverflow.co.
