 A.TOS_CAT   A.DESCRIPT                                 A.PAYM_DAYS   B.CRA_DAYS_NOTICE   B.CRA_ACTION_REQUIRED   B.CRA_LETTER_NUMBER   C.LETTER_TEXT      D.LETTER_TEXT
 -           Residential Senior Citizen                          21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 -           Residential Senior Citizen                          21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverf low.co A message from FLOW.
 9           SME Charity / Non-Profit                            21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 9           SME Charity / Non-Profit                            21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverf low.co A message from FLOW.
 6           SME Very Loyal                                      21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 6           SME Very Loyal                                      21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverf low.co A message from FLOW.
 K           SME Secure                                          21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 K           SME Secure                                          21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverf low.co A message from FLOW.
 L           SME High Risk                                       21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 L           SME High Risk                                       21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverf low.co A message from FLOW.
 M           SME Medium Risk                                     21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 M           SME Medium Risk                                     21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverf low.co A message from FLOW.
 N           SME Low Risk                                        21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 N           SME Low Risk                                        21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverf low.co A message from FLOW.
 -           Residential Senior Citizen                          21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 -           Residential Senior Citizen                          21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 9           SME Charity / Non-Profit                            21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 9           SME Charity / Non-Profit                            21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 T           Residential High Risk                               21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 T           Residential High Risk                               21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 6           SME Very Loyal                                      21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 6           SME Very Loyal                                      21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 7           Residential Very Loyal                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 7           Residential Very Loyal                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 K           SME Secure                                          21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 K           SME Secure                                          21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 L           SME High Risk                                       21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 L           SME High Risk                                       21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
 M           SME Medium Risk                                     21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 M           SME Medium Risk                                     21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co From FLOW.
