 A.TOS_CAT   A.DESCRIPT                                 A.PAYM_DAYS   B.CRA_DAYS_NOTICE   B.CRA_ACTION_REQUIRED   B.CRA_LETTER_NUMBER   C.LETTER_TEXT      D.LETTER_TEXT
 -           Residential Senior Citizen                          21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 -           Residential Senior Citizen                          21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverflow.co. A message from FLOW.
 X           Residential First Time Default                      21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 X           Residential First Time Default                      21                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverflow.co. A message from FLOW.
 Z           Recurring Payment Customers                         30                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi
 Z           Recurring Payment Customers                         30                   2   I                     4   Your current bill is due for payment by &&DUEDATE&&. Call 1-800-804-2994 or vi      ew and pay online by visiting www.discoverflow.co. A message from FLOW.
 -           Residential Senior Citizen                          21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 -           Residential Senior Citizen                          21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co. From FLOW
 X           Residential First Time Default                      21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 X           Residential First Time Default                      21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co. From FLOW
 Z           Recurring Payment Customers                         30                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 Z           Recurring Payment Customers                         30                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co. From FLOW
 U           Residential Medium Risk                             21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 U           Residential Medium Risk                             21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co. From FLOW
 W           Residential New Customer                            21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 W           Residential New Customer                            21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co. From FLOW
 7           Residential Very Loyal                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 7           Residential Very Loyal                              21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co. From FLOW
 T           Residential High Risk                               21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 T           Residential High Risk                               21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co. From FLOW
 V           Residential Low Risk                                21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea
 V           Residential Low Risk                                21                   2   B                     5   Your account is &&DAYSOVR&& days overdue and your service will be Barred. Plea      se pay now at the nearest location or online at www.discoverflow.co. From FLOW
22 rows selected



